title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win
One Battle After Another,https://www.imdb.com/title/tt30144839/?ref_=ev_csegosc_nom,2026,1,1,1,1,1,1,1,1,1,0
F1: The Movie,https://www.imdb.com/title/tt16311594/?ref_=ev_csegosc_nom,2026,0,0,0,0,0,0,1,0,0,0
Frankenstein,https://www.imdb.com/title/tt1312221/?ref_=ev_csegosc_nom,2026,1,0,0,0,1,0,1,0,1,0
Hamnet,https://www.imdb.com/title/tt14905854/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,1,1,0,1,0
Marty Supreme,https://www.imdb.com/title/tt32916440/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,1,0
Sentimental Value,https://www.imdb.com/title/tt27714581/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,0,0
Sinners,https://www.imdb.com/title/tt31193180/?ref_=ev_csegosc_nom,2026,1,0,1,0,1,0,1,0,1,1
Train Dreams,https://www.imdb.com/title/tt29768334/?ref_=ev_csegosc_nom,2026,1,0,0,0,0,0,1,0,0,0
The Secret Agent,https://www.imdb.com/title/tt27847051/?ref_=ev_csegosc_nom,2026,0,0,0,0,1,0,0,0,0,0
Bugonia,https://www.imdb.com/title/tt12300742/?ref_=ev_csegosc_nom,2026,1,0,0,0,1,0,1,0,0,0
Anora,https://www.imdb.com/title/tt28607951/?ref_=ev_csegosc_nom,2025,1,1,1,0,1,0,1,1,1,0
Wicked,https://www.imdb.com/title/tt1262426/?ref_=ev_csegosc_nom,2025,0,0,0,0,1,0,1,0,1,0
The Substance,https://www.imdb.com/title/tt17526714/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,1,0,0,0
Conclave,https://www.imdb.com/title/tt20215234/?ref_=ev_csegosc_nom,2025,0,0,1,1,1,0,1,0,1,1
The Brutalist,https://www.imdb.com/title/tt8999762/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,1,1,0,0,0
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=ev_csegosc_nom,2025,0,0,0,0,1,0,1,0,0,0
Emilia Pérez,https://www.imdb.com/title/tt20221436/?ref_=ev_csegosc_nom,2025,0,0,0,0,1,1,1,0,1,0
Nickel Boys,https://www.imdb.com/title/tt23055660/?ref_=ev_csegosc_nom,2025,1,0,0,0,1,0,0,0,0,0
A Complete Unknown,https://www.imdb.com/title/tt11563598/?ref_=ev_csegosc_nom,2025,1,0,1,0,1,0,1,0,1,0
I'm Still Here,https://www.imdb.com/title/tt14961016/?ref_=ev_csegosc_nom,2025,0,0,0,0,0,0,0,0,0,0
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=ev_csegosc_nom,2024,1,1,1,1,0,0,1,1,1,1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=ev_csegosc_nom,2024,1,0,0,0,0,0,1,0,1,0
Killers of the Flower Moon,https://www.imdb.com/title/tt5537002/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,1,0
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,0,0
The Holdovers,https://www.imdb.com/title/tt14849194/?ref_=ev_csegosc_nom,2024,1,0,1,0,0,0,1,0,0,0
Anatomy of a Fall,https://www.imdb.com/title/tt17009710/?ref_=ev_csegosc_nom,2024,0,0,1,0,1,0,1,0,0,0
Past Lives,https://www.imdb.com/title/tt13238346/?ref_=ev_csegosc_nom,2024,1,0,0,0,1,0,1,0,0,0
Maestro,https://www.imdb.com/title/tt5535276/?ref_=ev_csegosc_nom,2024,1,0,0,0,1,0,1,0,0,0
The Zone of Interest,https://www.imdb.com/title/tt7160372/?ref_=ev_csegosc_nom,2024,0,0,0,0,1,0,1,0,0,0
American Fiction,https://www.imdb.com/title/tt23561236/?ref_=ev_csegosc_nom,2024,1,0,0,0,0,0,1,0,1,0
